Ctrl_0h_R2	Ctrl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3
Terf1	8.33865901720584	8.34151297694175	8.13144407864079	8.19571885506667	8.38188819070766	8.11548166027914	8.49684374024573	8.26356323075106	8.2744425744322	8.13516269667106	8.25831973050419	8.01815368824823
Sbspon	-0.829855341270816	-0.892357756270024	-0.885834475226562	-0.890824683253597	-0.890504774966282	-0.890646498290879	-0.891072899205813	-0.834888733950023	-0.890484291734734	-0.890832999653714	-0.759583830700574	-0.673511008300688
4930444P10Rik	-1.98170312002835	-1.98300663557926	-1.97712831655156	-1.97959759291809	-1.92557610773349	-1.979237117915	-1.98011068914784	-1.98292291107741	-1.97891438876833	-1.97961457429937	-1.98011435143546	-1.97783127371788
Rpl7	13.8368137514015	13.7243450453969	14.0565024029978	14.006593027581	13.8388015195921	13.8845031327832	13.5385390332267	13.5754702665591	13.8156606090159	13.8509520997272	13.7641170346107	13.7517762449749
Rdh10	7.32808682325578	7.37874429472949	6.99243800731081	7.19498942342047	7.57593169419907	7.47471316816453	7.3310956164812	7.33502833300617	7.07948934206154	6.97068031761111	7.16755043254094	7.12624418792041
Stau2	6.48771198136957	6.51287191487869	6.52779804086213	6.43596675618692	6.77583600162186	6.60250202632356	7.3322426428393	7.32940455882618	7.36926560496864	7.32606874941592	7.88926758829231	7.77724169630727
Ube2w	9.19850389257195	9.29277600994919	9.04064140999426	9.09769784759449	9.33062155289002	9.01230065489277	9.98723137456764	9.81959217705663	9.46239147069748	9.37274747804936	9.7936621523974	9.60070938084658
Tceb1	9.70910758772573	9.78597583700702	9.94279240703233	10.007873265121	10.1655213983451	9.9758127682491	9.88642560721844	9.86683494109488	9.98802047178543	10.0356993169274	10.0427868782309	9.96982207521755
D030040B21Rik	-2.21746623128998	-2.21797419524692	-2.21568348671539	-2.21664573330542	-2.21639527030954	-2.21650526063609	-2.21684568058719	-2.20754104659616	-2.21637949706216	-2.21665235074058	-2.21684710773558	-2.21595742046594
Tmem70	9.29781777683621	9.26831911799019	9.21811856741938	9.1679291174561	9.41533117745531	9.34690379347159	9.49406718279727	9.49348043325325	9.21826263710888	9.14608015165094	9.4704145343425	9.42983693008138
Ly96	4.35224438299202	4.34201685275937	4.38372193299566	4.36618045769976	4.365714768209	4.1266203118333	4.60741611284495	4.5478902695191	4.3674766804827	4.39288114891186	4.2871954593624	3.86842954666776
Jph1	2.31454190544799	2.30630363665093	2.34704699843505	2.32881213249429	2.33340417914236	2.33137408780158	3.42609232718795	3.03505097158569	3.4820688244974	3.3315309458872	3.06506692967013	3.27132747468471
