Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tgm2	316.373294593639	3.26926869739036	0.211939713310479	15.4254653190036	1.103568809857e-53	5.23663836736588e-51
Mafb	108.763275501834	-1.13631944656009	0.389877994805216	-2.91455137684238	0.00356200173509314	0.0143708273129326
Plcg1	88.6849416843025	-1.21097124063355	0.28736770318424	-4.21401301264937	2.50872822142743e-05	0.000199390979980944
Fitm2	57.0052741305282	-1.46792132312725	0.386593051739791	-3.79707114890229	0.000146415775542806	0.000947413594067897
Ctsa	2223.04955281778	-1.02212017663991	0.132169232495018	-7.73341992947138	1.04695229789639e-14	4.47118428021619e-13
Pltp	107.115539761844	5.7975371181596	0.876211813966998	6.61659318642553	3.67571203777235e-11	9.55237781499785e-10
Mmp9	1029.78056848574	3.91096996267205	0.262209582480435	14.9154349191791	2.61567384319685e-50	1.11706710930127e-47
Zfp334	43.3588120851886	1.37972526352949	0.401458184759044	3.43678449190818	0.000588663781365286	0.00311008674921734
Ocstamp	175.140913724639	-2.89921668330621	0.267434608995045	-10.8408432782906	2.20429737232627e-27	2.71552480136963e-25
Zmynd8	970.206265729777	-1.15446550682906	0.178986190887566	-6.4500255640071	1.11831286158954e-10	2.71875225477898e-09
Pard6b	97.7626009460959	-1.22169183368135	0.293929646126498	-4.15640902434038	3.23288820483952e-05	0.000250291161848135
Zfp64	197.622228673279	-1.26666152064508	0.235776148965181	-5.37230557969684	7.77362256869947e-08	1.11529285946448e-06
Cass4	313.717118352093	1.46703358700565	0.254575638844236	5.76266289133528	8.27970679492648e-09	1.44522620513076e-07
Gm14305	14.8669082903008	-2.72750551095341	0.833914384674955	-3.27072606142481	0.0010727176694932	0.00520987823409661
Gm14325	46.3141639151237	-2.44877842115262	0.492896119386253	-4.96814303225151	6.75970968921291e-07	8.01160041981459e-06
Gm14326	21.5738584972723	-4.956605552547	1.16571062621429	-4.25200340554832	2.11866637910578e-05	0.000172235746504463
Etohi1	17.4661885889639	-4.60258964168777	1.17352898289401	-3.9220076442743	8.78142055018472e-05	0.000604554326109439
Lama5	5.32734720768515	-5.46279156386813	1.79881925636293	-3.03687629790747	0.00239043533306088	0.0102767531428127
Slco4a1	29.2506774712565	2.5003742421964	0.542979049081967	4.60491845205421	4.12627521630868e-06	4.01716094767073e-05
Ppdpf	198.730256898318	-1.06926979835048	0.206771410345012	-5.17126519844466	2.32514303889719e-07	3.06478730600317e-06
Pex2	486.958388175255	-1.05162757068972	0.159428952104601	-6.59621453197378	4.21788468246551e-11	1.09170784953026e-09
Mrps28	292.843648555243	-1.3475773658199	0.221201480204599	-6.0920811405668	1.11452164566299e-09	2.32940478372499e-08
Zbtb10	22.3354056715158	4.46729211137641	0.734171835973517	6.08480452733895	1.16633518673979e-09	2.42189407009889e-08
Zfand1	71.0875602845828	-1.38268297271709	0.386146220902683	-3.58072382395672	0.000342643680382106	0.00196067478028385
Lrrcc1	273.506187321416	-1.4681621912053	0.210835938517403	-6.96352909057823	3.31852596198875e-12	1.00039893235294e-10
E2f5	140.827464529153	-1.18272793763562	0.258871952120559	-4.56877590618553	4.90580960277781e-06	4.67657980883849e-05
Car2	152.015182593956	-6.20037039229559	0.613546159254546	-10.105792854818	5.20726410160964e-24	4.76539054784448e-22
Mtfr1	551.243754956601	-1.0057064398114	0.169206857088688	-5.94365061271882	2.78743398544216e-09	5.31437562819717e-08
Pde7a	618.238049800223	-1.13038793117012	0.169782793913351	-6.65784738910004	2.77867069315123e-11	7.35543985963917e-10
4632415L05Rik	109.615462867053	-1.27429694057342	0.314506220322188	-4.05173843387898	5.08384817451974e-05	0.000373905067806813
Tnik	78.6287331994088	-4.82558476260929	0.487048270634784	-9.90781623414855	3.84968326167625e-23	3.28814279657308e-21
