Gene	Ctrl.0h	Ctrl.CpG.6h	Emp_CpG_6h	Emp_Uns	NCoR1_CpG_6h	NCoR1_Uns	SMRT.0h	SMRT.CpG.6h
19	0610040J01Rik	6.22191137551199	6.26194225944846	6.22191137551199	6.36753354560427	6.51330660995328	6.22191137551199	6.54360175112556	6.4264315948415
20	0610043K17Rik	6.31768967653672	6.51030375744331	6.52992114451814	6.41461588870276	6.70969476303507	6.45109658890852	6.42560636142899	6.60836857580603
21	1010001N08Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
22	1110001J03Rik	8.41059756673122	8.36833807023318	8.60191704690465	8.67983435330369	8.24658217325523	8.30440697643807	8.36150800697858	8.40069522824131
23	1110002L01Rik	7.42803200785006	7.84727131640558	7.49972112939805	7.23615650206643	7.7435605954053	7.38522084653498	7.46910542248209	7.82806198910793
24	1110004E09Rik	9.19422739748862	8.40913080432054	7.99873834958191	9.36893012230534	7.62857908203505	9.47849420612242	8.94473186930695	8.01857977738457
25	1110004F10Rik	10.8907774592282	11.1550632544218	11.2771762529608	11.1366592479851	10.9221440410122	10.9048696245506	10.985040373567	11.2329232906405
26	1110006O24Rik	6.94409581182434	7.02492414564936	7.01512720780672	6.81482316538227	6.9588624941307	6.76993783556534	6.98704741124843	7.04249368326647
27	1110007C09Rik	9.31434669787542	8.24703993403129	8.03016982078674	9.70557791999154	9.21596882303805	10.0593225685644	9.40062172128748	8.19898866166713
28	1110008F13Rik	9.75308085903706	9.97664658930162	10.0734790169196	9.6905860231469	10.4025369202495	9.97328537443293	9.42786973229181	9.93285114447985
29	1110008L16Rik	9.10039837048589	9.73894902455297	9.84127825292759	8.97903827287595	9.19087839701164	8.67672591958921	9.1623601895915	9.91604293028156
30	1110008P14Rik	8.42476325005798	8.22761559492073	8.49310100975481	9.04009601383073	8.73543326911028	8.88179020132294	8.33403302761289	8.14629897007024
31	1110012L19Rik	7.97899259096663	7.98396611683855	8.09771563066895	8.21448125519916	8.28285612209676	8.27884703833051	8.09808597561424	8.05099678131563
32	1110015O18Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
33	1110017D15Rik	6.28866802084677	6.30238205070241	6.22191137551199	6.31298012754611	6.22191137551199	6.2810241481508	6.3323272478256	6.30790114777798
34	1110019D14Rik	6.98974181982476	7.28721875213683	6.98940974576585	6.91607712136767	7.1497917197565	7.00628599987423	6.97636989341879	7.01656309289453
