Gene	SMRT_0hr	SMRT_6hr_CpG	NCoR1_0hr	NCoR1_6hr_CpG
Abcc3	2.45773341657514	0.641833550982316	1.98029472873596	-0.850708462605657
Abcc8	-0.176827527342592	-0.985183717484605	-2.09845868091548	-2.27882819033298
Abcd3	3.40774399698327	3.68197108823695	2.27598248405675	1.62709139664824
Abcg1	0.249490034539215	1.59628485422342	0.803956764796581	1.45552480259902
Abcg3	-2.19647481039584	-2.27209614664229	0.123195051929078	-0.955954161674625
Abhd15	-2.10394064105298	-1.69949249508207	-0.668197820839677	-1.37976045523641
Ablim1	-1.36474424640676	1.49529681706882	-6.36705541481061	-4.4085226049543
Abtb2	-1.2858604281874	-1.27892229497371	-2.30901949055061	0.732766175615047
Acadvl	-1.0460972574239	-0.469070432255565	-1.13362649573095	-0.721798525121105
Acbd4	-0.565755543065331	-1.13549182846595	-0.926731022708784	-0.590679888284617
